customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
2462-UGPSP,Female,0,Yes,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.04,1298.91,No
9660-ADJYM,Male,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.93,1640.96,No
3463-YQYMT,Female,1,No,No,62,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,85.56,5260.65,No
4767-ABHJG,Female,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,54.38,1498.51,No
2088-FVBFH,Male,0,No,No,28,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),77.41,1994.92,No
8714-XEYJV,Female,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,78.83, ,Yes
1005-ZVEXX,Female,0,No,No,49,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,50.0,2366.14,No
5451-CQHDD,Female,1,No,Yes,1,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,61.97,61.67,No
4347-XAQYV,Male,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),87.4,5650.54,No
8690-VWQFL,Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,88.73,4335.63,No
5642-AHPEZ,Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,90.46,2866.91,No
3217-TWWGL,Female,0,Yes,No,48,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,66.42,3053.49,No
7693-CRYCG,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),29.3,2098.71,No
