gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,Yes,Yes,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.04,1298.91,No
Male,1,Yes,No,51,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,32.93,1640.96,No
Female,1,No,No,62,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,85.56,5260.65,No
Female,0,Yes,No,28,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,54.38,1498.51,No
Male,0,No,No,28,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),77.41,1994.92,No
Female,0,No,No,0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,78.83,0.0,Yes
Female,0,No,No,49,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Mailed check,50.0,2366.14,No
Female,1,No,Yes,1,Yes,No,DSL,Yes,No,No,No,Yes,No,Two year,No,Mailed check,61.97,61.67,No
Male,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),87.4,5650.54,No
Male,0,Yes,Yes,50,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Mailed check,88.73,4335.63,No
Male,0,No,No,33,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,90.46,2866.91,No
Female,0,Yes,No,48,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,66.42,3053.49,No
Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),29.3,2098.71,No
Female,1,No,No,11,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,30.11,308.75,No
Male,0,Yes,No,54,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),99.56,5322.35,No
Male,0,Yes,No,63,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,55.1,3280.0,No
Female,0,No,Yes,42,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,57.53,2254.78,Yes
Male,0,No,Yes,48,Yes,No,Fiber optic,Yes,No,No,No,No,No,Two year,No,Electronic check,83.96,3878.04,No
Female,0,No,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),22.58,773.71,No
Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),83.31,862.97,Yes
Female,0,No,Yes,71,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),51.73,3662.96,No
Male,0,Yes,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,22.81,424.8,Yes
Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),79.01,2067.11,Yes
Female,0,No,No,71,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,25.21,1771.12,No
Female,1,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,78.79,293.3,No
Male,0,Yes,No,29,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),85.99,2394.06,Yes
